,Baseline,Skip,Skip+Aggr,Skip+Dist
Rotation counts,18370.0,14973.0,14973.0,14973.0
Max rotations per layer,11.0,11.0,161.0,1.0
Rotation layer occupancy (%),30.127977619574523,27.637320194576088,9.277855487588468,31.259525251049084
Average layer latency (us),2323.6022200455927,2195.1931509195792,1261.9995609315333,2369.9739138365185
