Label,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,RotCount
L331,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L338,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L343,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L350,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L364,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L365,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L371,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L378,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L389,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L396,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L403,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L408,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L415,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L425,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L426,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L429,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L436,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L454,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L461,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L468,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L473,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L480,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L491,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L492,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L494,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L495,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L501,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L508,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L519,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L526,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L538,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L566,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L584,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L591,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L598,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L603,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L610,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L625,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L631,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L638,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L649,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L656,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L663,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L668,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L675,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L685,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L686,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L689,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L696,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L714,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L721,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L728,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L733,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L740,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L751,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L752,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L754,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L755,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L761,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L768,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L779,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L786,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L793,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L798,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L815,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L816,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L819,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L826,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L844,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L851,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L858,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L863,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L870,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L884,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L885,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L891,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L898,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L909,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L916,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L923,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L928,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
