,Baseline,Skip,Skip+Aggr,Skip+Dist
Rotation counts,58880.0,58816.0,58816.0,58816.0
Max rotations per layer,7.0,7.0,64.0,2.0
Rotation layer occupancy (%),57.75512515573678,57.70528938724657,23.25065126288368,89.99660210669386
Average layer latency (us),2634.773680451462,2635.520880420523,1551.837414946512,3701.738692459765
