,Baseline,Skip,Skip+Aggr,Skip+Dist
Rotation counts,22424.0,18066.0,18066.0,18066.0
Max rotations per layer,26.0,26.0,31.0,1.0
Rotation layer occupancy (%),23.172079678276617,20.74857129418405,8.937936548999318,21.243620799134547
Average layer latency (us),1887.8119621034152,1766.3954126325018,1162.8734542779835,1790.3748671857988
