,Baseline,Skip,Skip+Aggr,Skip+Dist
Rotation counts,39680.0,39616.0,39616.0,39616.0
Max rotations per layer,4.0,4.0,64.0,2.0
Rotation layer occupancy (%),29.55209111458202,29.522987223391766,20.41443941054919,37.091939192270004
Average layer latency (us),1415.6157079242296,1414.245657131937,1153.7051116071998,1626.9671029181243
