,Baseline,Skip,Skip+Aggr,Skip+Dist
Rotation counts,12195.0,9781.0,9781.0,9781.0
Max rotations per layer,58.0,58.0,64.0,1.0
Rotation layer occupancy (%),20.486033632878268,18.73744852627949,8.645556524737813,19.840963953181735
Average layer latency (us),1772.912932439703,1683.097708774509,1171.6038235983624,1741.3434833050842
