,Baseline,Skip,Skip+Aggr,Skip+Dist
Rotation counts,48737.0,48730.0,48730.0,48730.0
Max rotations per layer,9.0,8.0,28.0,2.0
Rotation layer occupancy (%),68.66598207617625,68.6519790888723,23.314973861090365,90.18857356235998
Average layer latency (us),2637.426688704288,2636.965998929884,1439.878590706269,3258.0910956248604
