,Baseline,Skip,Skip+Aggr,Skip+Dist
Rotation counts,3404.0,2734.0,2734.0,2734.0
Max rotations per layer,17.0,17.0,18.0,1.0
Rotation layer occupancy (%),25.487269534679545,22.879719051799825,9.640035118525022,24.003511852502196
Average layer latency (us),1545.5522797897133,1456.6116844210565,995.5658569940955,1493.9566888713089
