Label,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,RotCount
L630,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L640,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L650,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L658,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L668,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L678,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L684,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L688,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L698,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L708,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L718,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L724,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L734,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L744,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L748,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L762,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L768,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L772,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L778,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L784,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L790,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L796,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L800,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L808,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L814,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L820,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L826,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L832,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L840,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L846,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L852,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L858,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L868,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L874,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L882,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L888,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L894,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L900,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L906,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L910,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L916,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L922,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L928,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L934,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1070,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1188,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1216,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1246,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1252,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1261,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1275,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1281,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1285,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1291,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1297,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1303,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1309,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1313,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1319,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1325,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1331,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1339,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1349,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1359,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1365,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1379,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1385,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1393,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1399,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1405,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1411,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1415,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1429,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1435,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1439,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1445,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1449,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1459,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1469,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1487,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1503,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1511,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1525,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1531,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1541,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1545,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1551,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1559,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1568,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1574,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1580,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1590,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1596,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1604,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1610,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1616,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1622,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1628,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1632,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1638,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1644,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1650,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1656,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1660,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1666,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1672,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1678,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1684,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1692,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1698,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1704,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1710,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1714,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1724,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1728,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1734,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1740,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2108,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2118,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2154,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2216,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2310,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2324,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2366,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2382,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2394,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2403,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2417,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2423,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2427,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2433,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2439,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2445,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2451,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2455,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2461,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2467,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2473,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2481,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2491,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2501,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2507,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2521,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2527,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
