,Baseline,Skip,Skip+Aggr,Skip+Dist
Rotation counts,12376.0,12376.0,12376.0,12376.0
Max rotations per layer,4.0,4.0,14.0,3.0
Rotation layer occupancy (%),31.813814044663104,31.813814044663104,21.216896644501674,37.133412768574395
Average layer latency (us),1258.9731624806868,1258.9731624806868,1038.3856711021663,1389.36702352973
