d,n1,n2,p_l
5,2,12,0.00066968
5,2,13,0.000766623
5,2,14,0.000870232
5,2,15,0.000983675
7,2,0,3.781e-06
7,2,1,5.941e-06
7,2,2,9.127e-06
7,2,3,1.3117e-05
7,2,4,1.8587e-05
7,2,5,2.5527e-05
7,2,6,3.4319e-05
7,2,7,4.4856e-05
7,2,8,5.8164e-05
7,2,9,7.3018e-05
7,2,10,9.1197e-05
7,2,11,0.000112621
7,2,12,0.000137172
7,2,13,0.000163948
7,2,14,0.000196118
7,2,15,0.000232155
9,2,0,2.53e-07
9,2,1,4.21e-07
9,2,2,7.73e-07
9,2,3,1.305e-06
9,2,4,2.098e-06
9,2,5,3.177e-06
9,2,6,4.545e-06
9,2,7,6.439e-06
9,2,8,9.064e-06
9,2,9,1.2184e-05
9,2,10,1.6026e-05
9,2,11,2.0846e-05
9,2,12,2.6745e-05
9,2,13,3.4005e-05
9,2,14,4.2865e-05
9,2,15,5.2817e-05
11,2,0,1.6e-08
11,2,1,3.7e-08
11,2,2,7.1e-08
11,2,3,1.19e-07
11,2,4,2.38e-07
11,2,5,3.79e-07
11,2,6,5.78e-07
11,2,7,8.9e-07
11,2,8,1.383e-06
11,2,9,1.942e-06
11,2,10,2.835e-06
11,2,11,3.828e-06
11,2,12,5.128e-06
11,2,13,6.965e-06
11,2,14,9.128e-06
11,2,15,1.1781e-05
13,2,0,1e-09
13,2,1,1e-09
13,2,2,6e-09
13,2,3,1.5e-08
13,2,4,1.7e-08
13,2,5,3.8e-08
13,2,6,7.4e-08
13,2,7,1.2e-07
13,2,8,1.7e-07
13,2,9,3.03e-07
13,2,10,4.29e-07
13,2,11,6.29e-07
13,2,12,9.43e-07
13,2,13,1.409e-06
13,2,14,1.877e-06
13,2,15,2.499e-06
3,3,0,0.000566288
3,3,1,0.000681972
3,3,2,0.000823268
3,3,3,0.000974144
3,3,4,0.00114087
3,3,5,0.0013365
3,3,6,0.001523471
3,3,7,0.001760432
3,3,8,0.001982264
3,3,9,0.002220115
3,3,10,0.002468594
3,3,11,0.002733932
3,3,12,0.003007922
3,3,13,0.003296063
3,3,14,0.003596564
3,3,15,0.003906619
5,3,0,5.3825e-05
5,3,1,7.4709e-05
5,3,2,0.000100041
5,3,3,0.000130207
5,3,4,0.00016626
5,3,5,0.000208504
5,3,6,0.000258327
5,3,7,0.000313715
5,3,8,0.000374955
5,3,9,0.000446326
5,3,10,0.000524338
5,3,11,0.000610605
5,3,12,0.000704724
5,3,13,0.000804855
5,3,14,0.000912668
5,3,15,0.001031276
7,3,0,4.199e-06
7,3,1,6.682e-06
7,3,2,9.989e-06
7,3,3,1.4633e-05
7,3,4,2.0333e-05
7,3,5,2.8171e-05
7,3,6,3.7923e-05
7,3,7,4.9383e-05
7,3,8,6.2981e-05
7,3,9,8.0068e-05
7,3,10,9.9345e-05
7,3,11,0.00012205
7,3,12,0.000147584
7,3,13,0.000178221
7,3,14,0.000211828
7,3,15,0.000248998
9,3,0,2.96e-07
9,3,1,5.05e-07
9,3,2,9.04e-07
9,3,3,1.514e-06
9,3,4,2.45e-06
9,3,5,3.58e-06
9,3,6,5.215e-06
9,3,7,7.294e-06
9,3,8,1.0031e-05
9,3,9,1.3606e-05
9,3,10,1.7954e-05
9,3,11,2.3506e-05
9,3,12,3.0266e-05
9,3,13,3.797e-05
9,3,14,4.7246e-05
9,3,15,5.8698e-05
11,3,0,1.6e-08
11,3,1,3.3e-08
11,3,2,7.1e-08
11,3,3,1.48e-07
11,3,4,2.76e-07
11,3,5,4.3e-07
11,3,6,6.96e-07
11,3,7,1.072e-06
11,3,8,1.571e-06
11,3,9,2.287e-06
11,3,10,3.153e-06
11,3,11,4.527e-06
11,3,12,5.875e-06
11,3,13,7.919e-06
11,3,14,1.0298e-05
11,3,15,1.34e-05
13,3,0,0.0
13,3,1,1e-09
13,3,2,1e-09
13,3,3,2.3e-08
13,3,4,2.4e-08
13,3,5,4.4e-08
13,3,6,1.05e-07
13,3,7,1.44e-07
13,3,8,2.35e-07
13,3,9,3.82e-07
13,3,10,5.73e-07
13,3,11,8.39e-07
13,3,12,1.181e-06
13,3,13,1.616e-06
13,3,14,2.119e-06
13,3,15,2.907e-06
3,4,0,0.000562396
3,4,1,0.000685485
3,4,2,0.000829404
3,4,3,0.000981823
3,4,4,0.001149354
3,4,5,0.001330015
3,4,6,0.001537092
3,4,7,0.00174379
3,4,8,0.002005469
3,4,9,0.002247732
3,4,10,0.002494937
3,4,11,0.002759439
3,4,12,0.003032573
3,4,13,0.003320349
3,4,14,0.003633016
3,4,15,0.003942937
5,4,0,5.6643e-05
5,4,1,7.853e-05
5,4,2,0.000104933
5,4,3,0.000137399
5,4,4,0.000175778
5,4,5,0.000220341
5,4,6,0.000272652
5,4,7,0.000329566
5,4,8,0.000395838
5,4,9,0.00046801
5,4,10,0.00054976
5,4,11,0.000639891
5,4,12,0.000739623
5,4,13,0.000844069
5,4,14,0.000955535
5,4,15,0.001078652
7,4,0,4.6e-06
7,4,1,7.403e-06
7,4,2,1.0954e-05
7,4,3,1.6068e-05
7,4,4,2.2561e-05
7,4,5,3.0877e-05
7,4,6,4.089e-05
7,4,7,5.3867e-05
7,4,8,6.8711e-05
7,4,9,8.7061e-05
7,4,10,0.00010806
7,4,11,0.000132088
7,4,12,0.000159634
7,4,13,0.000192031
7,4,14,0.00022734
7,4,15,0.000268332
9,4,0,3.04e-07
9,4,1,6.59e-07
9,4,2,1.094e-06
9,4,3,1.803e-06
9,4,4,2.715e-06
9,4,5,4.046e-06
9,4,6,5.961e-06
9,4,7,8.264e-06
9,4,8,1.1503e-05
9,4,9,1.548e-05
9,4,10,2.0308e-05
9,4,11,2.6277e-05
9,4,12,3.3645e-05
9,4,13,4.2196e-05
9,4,14,5.2643e-05
9,4,15,6.4686e-05
11,4,0,2.5e-08
11,4,1,4.5e-08
11,4,2,1.02e-07
11,4,3,1.88e-07
11,4,4,3.29e-07
11,4,5,5.08e-07
11,4,6,7.79e-07
11,4,7,1.201e-06
11,4,8,1.928e-06
11,4,9,2.657e-06
11,4,10,3.706e-06
11,4,11,5.101e-06
11,4,12,6.863e-06
11,4,13,9.121e-06
11,4,14,1.1696e-05
11,4,15,1.5025e-05
13,4,0,1e-09
13,4,1,2e-09
13,4,2,8e-09
13,4,3,1.9e-08
13,4,4,4.5e-08
13,4,5,6.5e-08
13,4,6,1.2e-07
13,4,7,1.82e-07
13,4,8,2.97e-07
13,4,9,4.68e-07
13,4,10,6.51e-07
13,4,11,9.58e-07
13,4,12,1.425e-06
13,4,13,1.928e-06
13,4,14,2.588e-06
13,4,15,3.433e-06
3,5,0,0.000554901
3,5,1,0.000689891
3,5,2,0.000823154
3,5,3,0.00099177
3,5,4,0.001157058
3,5,5,0.001340086
3,5,6,0.00152511
3,5,7,0.00176125
3,5,8,0.001981172
3,5,9,0.002271589
3,5,10,0.002524024
3,5,11,0.002787894
3,5,12,0.003066025
3,5,13,0.003356175
3,5,14,0.003658716
3,5,15,0.003967357
5,5,0,5.8978e-05
5,5,1,8.2311e-05
5,5,2,0.000111038
5,5,3,0.000144392
5,5,4,0.000184857
5,5,5,0.000231166
5,5,6,0.000285549
5,5,7,0.000344948
5,5,8,0.000414733
5,5,9,0.000492825
5,5,10,0.000576871
5,5,11,0.000669418
5,5,12,0.00077342
5,5,13,0.000879194
5,5,14,0.000997242
5,5,15,0.001126845
7,5,0,4.882e-06
7,5,1,7.87e-06
7,5,2,1.1914e-05
7,5,3,1.7346e-05
7,5,4,2.4572e-05
7,5,5,3.3542e-05
7,5,6,4.4516e-05
7,5,7,5.8007e-05
7,5,8,7.4522e-05
7,5,9,9.4548e-05
7,5,10,0.000116516
7,5,11,0.000141446
7,5,12,0.000172238
7,5,13,0.000205922
7,5,14,0.000244981
7,5,15,0.000286727
9,5,0,3.97e-07
9,5,1,6.68e-07
9,5,2,1.183e-06
9,5,3,1.97e-06
9,5,4,3.013e-06
9,5,5,4.579e-06
9,5,6,6.646e-06
9,5,7,9.305e-06
9,5,8,1.293e-05
9,5,9,1.7149e-05
9,5,10,2.2505e-05
9,5,11,2.927e-05
9,5,12,3.7086e-05
9,5,13,4.6598e-05
9,5,14,5.7455e-05
9,5,15,7.0361e-05
11,5,0,1.9e-08
11,5,1,6.6e-08
11,5,2,1.22e-07
11,5,3,2.17e-07
11,5,4,3.48e-07
11,5,5,5.82e-07
11,5,6,9.52e-07
11,5,7,1.396e-06
11,5,8,2.081e-06
11,5,9,3.01e-06
11,5,10,4.142e-06
11,5,11,5.782e-06
11,5,12,7.761e-06
11,5,13,1.0354e-05
11,5,14,1.3195e-05
11,5,15,1.6928e-05
13,5,0,3e-09
13,5,1,6e-09
13,5,2,1.5e-08
13,5,3,1.9e-08
13,5,4,3.8e-08
13,5,5,8e-08
13,5,6,1.31e-07
13,5,7,2.15e-07
13,5,8,3.74e-07
13,5,9,5.52e-07
13,5,10,7.45e-07
13,5,11,1.161e-06
13,5,12,1.564e-06
13,5,13,2.227e-06
13,5,14,2.928e-06
13,5,15,4.024e-06
3,6,0,0.000556972
3,6,1,0.000690985
3,6,2,0.000828546
3,6,3,0.00098192
3,6,4,0.001167716
3,6,5,0.001348109
3,6,6,0.001535812
3,6,7,0.001743035
3,6,8,0.001997374
3,6,9,0.002233881
3,6,10,0.002482364
3,6,11,0.002814946
3,6,12,0.003095941
3,6,13,0.003389387
3,6,14,0.00369673
3,6,15,0.004010558
5,6,0,6.2347e-05
5,6,1,8.592e-05
5,6,2,0.000115945
5,6,3,0.000151591
5,6,4,0.000193726
5,6,5,0.000241353
5,6,6,0.000298095
5,6,7,0.000363236
5,6,8,0.000433196
5,6,9,0.000513932
5,6,10,0.000599611
5,6,11,0.000698214
5,6,12,0.000806035
5,6,13,0.00091755
5,6,14,0.001037774
5,6,15,0.001170886
7,6,0,5.41e-06
7,6,1,8.588e-06
7,6,2,1.3011e-05
7,6,3,1.8829e-05
7,6,4,2.6382e-05
7,6,5,3.6365e-05
7,6,6,4.8258e-05
7,6,7,6.2993e-05
7,6,8,8.0301e-05
7,6,9,0.000101081
7,6,10,0.000124875
7,6,11,0.0001524
7,6,12,0.000184565
7,6,13,0.000220467
7,6,14,0.000259747
7,6,15,0.000305105
9,6,0,4.47e-07
9,6,1,7.35e-07
9,6,2,1.303e-06
9,6,3,2.255e-06
9,6,4,3.459e-06
9,6,5,5.094e-06
9,6,6,7.424e-06
9,6,7,1.0321e-05
9,6,8,1.426e-05
9,6,9,1.889e-05
9,6,10,2.4984e-05
9,6,11,3.1933e-05
9,6,12,4.0308e-05
9,6,13,5.0852e-05
9,6,14,6.3372e-05
9,6,15,7.6982e-05
11,6,0,2.9e-08
11,6,1,5.8e-08
11,6,2,1.29e-07
11,6,3,2.1e-07
11,6,4,4.11e-07
11,6,5,6.36e-07
11,6,6,1.101e-06
11,6,7,1.65e-06
11,6,8,2.329e-06
11,6,9,3.345e-06
11,6,10,4.752e-06
11,6,11,6.463e-06
11,6,12,8.659e-06
11,6,13,1.1487e-05
11,6,14,1.4748e-05
11,6,15,1.8865e-05
13,6,0,2e-09
13,6,1,5e-09
13,6,2,1.5e-08
13,6,3,2.4e-08
13,6,4,4.5e-08
13,6,5,9.8e-08
13,6,6,1.38e-07
13,6,7,2.3e-07
13,6,8,4.39e-07
13,6,9,5.93e-07
13,6,10,9.34e-07
13,6,11,1.315e-06
13,6,12,1.813e-06
13,6,13,2.454e-06
13,6,14,3.334e-06
13,6,15,4.627e-06
3,7,0,0.000557765
3,7,1,0.000691914
3,7,2,0.000829846
3,7,3,0.000985261
3,7,4,0.001174391
3,7,5,0.001357114
3,7,6,0.001548191
3,7,7,0.001750865
3,7,8,0.001974203
3,7,9,0.002249758
3,7,10,0.00250089
3,7,11,0.002760869
3,7,12,0.003129595
3,7,13,0.003422199
3,7,14,0.003727564
3,7,15,0.004046455
5,7,0,6.4808e-05
5,7,1,9.0148e-05
5,7,2,0.000120724
5,7,3,0.000157866
5,7,4,0.000203123
5,7,5,0.000253455
5,7,6,0.00031244
5,7,7,0.000379228
5,7,8,0.000451978
5,7,9,0.000535561
5,7,10,0.000625814
5,7,11,0.000726756
5,7,12,0.000838453
5,7,13,0.000952405
5,7,14,0.001078821
5,7,15,0.001216217
7,7,0,5.713e-06
7,7,1,9.24e-06
7,7,2,1.391e-05
7,7,3,2.0696e-05
7,7,4,2.9045e-05
7,7,5,3.9238e-05
7,7,6,5.1863e-05
7,7,7,6.7578e-05
7,7,8,8.685e-05
7,7,9,0.000108039
7,7,10,0.000133095
7,7,11,0.000162638
7,7,12,0.00019699
7,7,13,0.000234819
7,7,14,0.000277408
7,7,15,0.000324481
9,7,0,4.84e-07
9,7,1,8.77e-07
9,7,2,1.481e-06
9,7,3,2.419e-06
9,7,4,3.745e-06
9,7,5,5.697e-06
9,7,6,8.085e-06
9,7,7,1.1636e-05
9,7,8,1.5471e-05
9,7,9,2.0786e-05
9,7,10,2.6856e-05
9,7,11,3.4939e-05
9,7,12,4.4617e-05
9,7,13,5.5497e-05
9,7,14,6.8408e-05
9,7,15,8.3755e-05
11,7,0,3.7e-08
11,7,1,7.9e-08
11,7,2,1.51e-07
11,7,3,2.62e-07
11,7,4,4.56e-07
11,7,5,7.43e-07
11,7,6,1.207e-06
11,7,7,1.908e-06
