d,n1,n2,p_l
7,11,6,6.8093e-05
7,11,7,8.7448e-05
7,11,8,0.000111001
7,11,9,0.000139048
7,11,10,0.000170062
7,11,11,0.00020649
7,11,12,0.000247756
7,11,13,0.000295359
7,11,14,0.000346846
7,11,15,0.000404678
9,11,0,6.78e-07
9,11,1,1.197e-06
9,11,2,2.204e-06
9,11,3,3.568e-06
9,11,4,5.519e-06
9,11,5,8.034e-06
9,11,6,1.1519e-05
9,11,7,1.6114e-05
9,11,8,2.2195e-05
9,11,9,2.9041e-05
9,11,10,3.8134e-05
9,11,11,4.7972e-05
9,11,12,6.0807e-05
9,11,13,7.586e-05
9,11,14,9.3159e-05
9,11,15,0.000114165
11,11,0,3.9e-08
11,11,1,1.12e-07
11,11,2,2.11e-07
11,11,3,4.2e-07
11,11,4,7.3e-07
11,11,5,1.275e-06
11,11,6,1.886e-06
11,11,7,2.895e-06
11,11,8,4.158e-06
11,11,9,5.813e-06
11,11,10,8.147e-06
11,11,11,1.1073e-05
11,11,12,1.4685e-05
11,11,13,1.9209e-05
11,11,14,2.44e-05
11,11,15,3.0703e-05
13,11,0,1e-09
13,11,1,1.5e-08
13,11,2,4.2e-08
13,11,3,6.1e-08
13,11,4,1.05e-07
13,11,5,2.03e-07
13,11,6,3.49e-07
13,11,7,4.83e-07
13,11,8,8.05e-07
13,11,9,1.147e-06
13,11,10,1.715e-06
13,11,11,2.404e-06
13,11,12,3.398e-06
13,11,13,4.589e-06
13,11,14,6.281e-06
13,11,15,8.277e-06
3,12,0,0.000564501
3,12,1,0.000699662
3,12,2,0.000838928
3,12,3,0.000997655
3,12,4,0.001169718
3,12,5,0.001354173
3,12,6,0.00154342
3,12,7,0.001749416
3,12,8,0.002023732
3,12,9,0.002262665
3,12,10,0.002510345
3,12,11,0.002771951
3,12,12,0.003051009
3,12,13,0.00333539
3,12,14,0.003727724
3,12,15,0.00404549
5,12,0,7.7609e-05
5,12,1,0.000108791
5,12,2,0.000146905
5,12,3,0.000192309
5,12,4,0.000247298
5,12,5,0.00030812
5,12,6,0.000377886
5,12,7,0.000455529
5,12,8,0.000542988
5,12,9,0.000643323
5,12,10,0.000752075
5,12,11,0.000870161
5,12,12,0.001001336
5,12,13,0.001133044
5,12,14,0.001275364
5,12,15,0.001429582
7,12,0,7.868e-06
7,12,1,1.2918e-05
7,12,2,1.9722e-05
7,12,3,2.881e-05
7,12,4,3.986e-05
7,12,5,5.3409e-05
7,12,6,7.175e-05
7,12,7,9.2254e-05
7,12,8,0.000117467
7,12,9,0.000146718
7,12,10,0.000179825
7,12,11,0.000218589
7,12,12,0.000261754
7,12,13,0.0003113
7,12,14,0.000365747
7,12,15,0.000425301
9,12,0,7.15e-07
9,12,1,1.34e-06
9,12,2,2.321e-06
9,12,3,3.79e-06
9,12,4,5.853e-06
9,12,5,9.026e-06
9,12,6,1.2588e-05
9,12,7,1.7461e-05
9,12,8,2.392e-05
9,12,9,3.1304e-05
9,12,10,4.0971e-05
9,12,11,5.2317e-05
9,12,12,6.5989e-05
9,12,13,8.1618e-05
9,12,14,9.9882e-05
9,12,15,0.000121671
11,12,0,6.8e-08
11,12,1,1.35e-07
11,12,2,3.09e-07
11,12,3,5.03e-07
11,12,4,8.35e-07
11,12,5,1.384e-06
11,12,6,2.162e-06
11,12,7,3.24e-06
11,12,8,4.569e-06
11,12,9,6.587e-06
11,12,10,9.075e-06
11,12,11,1.213e-05
11,12,12,1.5742e-05
11,12,13,2.0965e-05
11,12,14,2.6878e-05
11,12,15,3.3832e-05
13,12,0,6e-09
13,12,1,1.5e-08
13,12,2,3.5e-08
13,12,3,7.2e-08
13,12,4,1.21e-07
13,12,5,2.1e-07
13,12,6,3.97e-07
13,12,7,5.44e-07
13,12,8,8.44e-07
13,12,9,1.319e-06
13,12,10,1.876e-06
13,12,11,2.739e-06
13,12,12,3.837e-06
13,12,13,5.127e-06
13,12,14,6.907e-06
13,12,15,9.239e-06
3,13,0,0.000563889
3,13,1,0.000702041
3,13,2,0.000841242
3,13,3,0.000998121
3,13,4,0.00117155
3,13,5,0.001355201
3,13,6,0.001547034
3,13,7,0.001754741
3,13,8,0.002034088
3,13,9,0.002268795
3,13,10,0.002520024
3,13,11,0.002784333
3,13,12,0.003060551
3,13,13,0.003349582
3,13,14,0.003650499
3,13,15,0.004065873
5,13,0,8.032e-05
5,13,1,0.000112074
5,13,2,0.000152213
5,13,3,0.000198868
5,13,4,0.000254702
5,13,5,0.000317944
5,13,6,0.000390724
5,13,7,0.000470882
5,13,8,0.000561894
5,13,9,0.000666295
5,13,10,0.000776681
5,13,11,0.000898576
5,13,12,0.001031374
5,13,13,0.001167129
5,13,14,0.001312091
5,13,15,0.00147351
7,13,0,8.473e-06
7,13,1,1.3632e-05
7,13,2,2.0804e-05
7,13,3,3.0296e-05
7,13,4,4.2243e-05
7,13,5,5.7312e-05
7,13,6,7.5728e-05
7,13,7,9.7706e-05
7,13,8,0.000124494
7,13,9,0.000153969
7,13,10,0.000188892
7,13,11,0.000229902
7,13,12,0.00027532
7,13,13,0.000326848
7,13,14,0.000384035
7,13,15,0.000445936
9,13,0,8.01e-07
9,13,1,1.511e-06
9,13,2,2.496e-06
9,13,3,4.216e-06
9,13,4,6.483e-06
9,13,5,9.448e-06
9,13,6,1.3843e-05
9,13,7,1.8811e-05
9,13,8,2.5801e-05
9,13,9,3.3771e-05
9,13,10,4.3696e-05
9,13,11,5.6074e-05
9,13,12,7.0282e-05
9,13,13,8.7192e-05
9,13,14,0.000106871
9,13,15,0.000130662
11,13,0,7.1e-08
11,13,1,1.41e-07
11,13,2,3.02e-07
11,13,3,5.3e-07
11,13,4,9.82e-07
11,13,5,1.551e-06
11,13,6,2.393e-06
11,13,7,3.612e-06
11,13,8,5.12e-06
11,13,9,7.105e-06
11,13,10,9.93e-06
11,13,11,1.3344e-05
11,13,12,1.7481e-05
11,13,13,2.2688e-05
11,13,14,2.9094e-05
11,13,15,3.6801e-05
13,13,0,9e-09
13,13,1,1e-08
13,13,2,2.7e-08
13,13,3,6.9e-08
13,13,4,1.02e-07
13,13,5,2.33e-07
13,13,6,4.16e-07
13,13,7,6.39e-07
13,13,8,9.85e-07
13,13,9,1.507e-06
13,13,10,2.095e-06
13,13,11,3.132e-06
13,13,12,4.266e-06
13,13,13,5.875e-06
13,13,14,7.636e-06
13,13,15,1.0254e-05
3,14,0,0.000565386
3,14,1,0.000702417
3,14,2,0.000843066
3,14,3,0.001000907
3,14,4,0.001174108
3,14,5,0.001359006
3,14,6,0.001548448
3,14,7,0.001756853
3,14,8,0.001976152
3,14,9,0.002282052
3,14,10,0.002529596
3,14,11,0.002794722
3,14,12,0.003069696
3,14,13,0.003361891
3,14,14,0.003659508
3,14,15,0.003971275
5,14,0,8.2838e-05
5,14,1,0.000115874
5,14,2,0.000156534
5,14,3,0.000204962
5,14,4,0.000262447
5,14,5,0.000327285
5,14,6,0.000403632
5,14,7,0.000485867
5,14,8,0.000579728
5,14,9,0.000686121
5,14,10,0.000802003
5,14,11,0.000928885
5,14,12,0.001063454
5,14,13,0.001202588
5,14,14,0.001352021
5,14,15,0.001514921
7,14,0,8.71e-06
7,14,1,1.4503e-05
7,14,2,2.2175e-05
7,14,3,3.1826e-05
7,14,4,4.4591e-05
7,14,5,6.0433e-05
7,14,6,8.0029e-05
7,14,7,0.000102824
7,14,8,0.000130434
7,14,9,0.000161807
7,14,10,0.000199291
7,14,11,0.000241344
7,14,12,0.000289417
7,14,13,0.000343119
7,14,14,0.00040313
7,14,15,0.000467785
9,14,0,8.36e-07
9,14,1,1.565e-06
9,14,2,2.833e-06
9,14,3,4.516e-06
9,14,4,6.978e-06
9,14,5,1.033e-05
9,14,6,1.4854e-05
9,14,7,2.0406e-05
9,14,8,2.7617e-05
9,14,9,3.6492e-05
9,14,10,4.6908e-05
9,14,11,5.9937e-05
9,14,12,7.5312e-05
9,14,13,9.3103e-05
9,14,14,0.000114527
9,14,15,0.000137612
11,14,0,6.7e-08
11,14,1,1.58e-07
11,14,2,3.47e-07
11,14,3,6e-07
11,14,4,1.064e-06
11,14,5,1.644e-06
11,14,6,2.569e-06
11,14,7,3.778e-06
11,14,8,5.505e-06
11,14,9,7.909e-06
11,14,10,1.0858e-05
11,14,11,1.4671e-05
11,14,12,1.9016e-05
11,14,13,2.4606e-05
11,14,14,3.1682e-05
11,14,15,3.9596e-05
13,14,0,1e-08
13,14,1,2.4e-08
13,14,2,3.8e-08
13,14,3,7.9e-08
13,14,4,1.48e-07
13,14,5,2.62e-07
13,14,6,4.31e-07
13,14,7,6.93e-07
13,14,8,1.064e-06
13,14,9,1.665e-06
13,14,10,2.325e-06
13,14,11,3.365e-06
13,14,12,4.801e-06
13,14,13,6.306e-06
13,14,14,8.506e-06
13,14,15,1.1255e-05
3,15,0,0.000565796
3,15,1,0.000703616
3,15,2,0.000844471
3,15,3,0.001003229
3,15,4,0.001174415
3,15,5,0.001360717
3,15,6,0.001552851
3,15,7,0.001764937
3,15,8,0.001979947
3,15,9,0.002289626
3,15,10,0.002541617
3,15,11,0.00280571
3,15,12,0.003078857
3,15,13,0.003371832
3,15,14,0.003674999
3,15,15,0.003986368
5,15,0,8.5577e-05
5,15,1,0.000119538
5,15,2,0.000162252
5,15,3,0.00021268
5,15,4,0.000271601
5,15,5,0.000337145
5,15,6,0.00041712
5,15,7,0.000501222
5,15,8,0.000598477
5,15,9,0.000707164
5,15,10,0.000821963
5,15,11,0.000953467
5,15,12,0.001093558
5,15,13,0.001238454
5,15,14,0.001386289
5,15,15,0.001558798
7,15,0,9.238e-06
7,15,1,1.5138e-05
7,15,2,2.3118e-05
7,15,3,3.382e-05
7,15,4,4.6877e-05
7,15,5,6.3681e-05
7,15,6,8.386e-05
7,15,7,0.000108183
7,15,8,0.000137214
7,15,9,0.00017079
7,15,10,0.00020739
7,15,11,0.000252353
7,15,12,0.000303383
7,15,13,0.000359622
7,15,14,0.000419733
7,15,15,0.000488275
9,15,0,8.58e-07
9,15,1,1.638e-06
9,15,2,3.071e-06
9,15,3,4.769e-06
9,15,4,7.462e-06
9,15,5,1.0957e-05
9,15,6,1.5628e-05
9,15,7,2.1865e-05
9,15,8,2.9518e-05
9,15,9,3.888e-05
9,15,10,5.0336e-05
9,15,11,6.3927e-05
9,15,12,7.9743e-05
9,15,13,9.9035e-05
9,15,14,0.000121755
9,15,15,0.000147617
11,15,0,7.8e-08
11,15,1,1.66e-07
11,15,2,3.47e-07
11,15,3,6.39e-07
11,15,4,1.099e-06
11,15,5,1.837e-06
11,15,6,2.791e-06
11,15,7,4.313e-06
11,15,8,6.024e-06
11,15,9,8.392e-06
11,15,10,1.1507e-05
11,15,11,1.5595e-05
11,15,12,2.0756e-05
11,15,13,2.638e-05
11,15,14,3.4057e-05
11,15,15,4.2729e-05
13,15,0,1.4e-08
13,15,1,2.3e-08
13,15,2,5.5e-08
13,15,3,7.9e-08
13,15,4,1.63e-07
13,15,5,3.14e-07
13,15,6,5.26e-07
13,15,7,8.09e-07
13,15,8,1.219e-06
13,15,9,1.862e-06
13,15,10,2.678e-06
13,15,11,3.669e-06
13,15,12,5.212e-06
13,15,13,7.005e-06
13,15,14,9.384e-06
13,15,15,1.2297e-05
