Label,Num_Layers,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,Logical_Error
Baseline,85042,237.0,36.135192022765224,391.04812527927373,34.599454084131544,35.10248838192453,1153.9267023353168,1887.8119621030291,7.671665765066425e-15
+ opt. #1,85042,237.0,36.135192022765224,389.771003033795,35.14899152338757,10.790900632350038,454.02736706568527,1162.8734542780376,2.040517110410905e-14
+ opt. #2,85042,237.00000000000006,36.135192022765175,402.22714976129436,55.34209133941193,14.238954641176532,37.56607676207051,782.509464526864,8.80446403493365e-15
