Label,Num_Layers,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,Logical_Error
Baseline,103079,237.0,48.340728955461344,271.1268528022197,5.795475435076744,5.2138617443846025,848.1387889870873,1415.6157079244292,1.2802659470683657e-10
+ opt. #1,103079,237.0,48.340728955461344,270.41621261362644,7.251142711599713,10.39708892974844,580.2999383967634,1153.7051116075438,2.7307102108697924e-10
+ opt. #2,103079,237.0,48.340728955461344,284.76640188593217,10.806104572922957,1.8816329660623103,45.38795797398113,628.1828263545278,1.2195790566789547e-10
