Label,Num_Layers,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,Logical_Error
Baseline,44145,237.0,65.78883225733378,412.5696223807906,43.390218526693715,40.56689357048088,1835.4581137161622,2634.7736804521046,2.233451380737907e-11
+ opt. #1,44145,237.0,65.78883225733378,405.99350436062974,61.257026629492096,28.70748810181668,753.0905635972362,1551.8374149467356,6.901786630194237e-11
+ opt. #2,44145,237.0,65.78883225733378,599.9968775625779,122.89025162099696,53.29493731449029,83.08504224714011,1162.0559410025276,6.138663318209371e-11
