Label,Num_Layers,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,Logical_Error
Baseline,49297,237.0,34.01819583341786,436.51906992311905,22.290020982917017,33.1388377809026,1009.9468079193463,1772.9129324398787,7.340612593912888e-15
+ opt. #1,49297,237.0,34.01819583341786,426.1804882650059,25.33252574769877,13.062115547480914,436.010498204759,1171.603823598778,3.178532626644862e-14
+ opt. #2,49297,237.0,34.01819583341786,438.01660161875975,42.31128919046503,12.435853274606846,34.62009371767045,798.4020336350198,8.088562840212617e-15
