Label,Num_Layers,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,Logical_Error
Baseline,26017,237.0,43.05327286005304,218.89503747549676,10.326785613701427,11.53867651721445,738.1593900142213,1258.973162480934,2.6714289271642914e-09
+ opt. #1,26017,237.0,43.05327286005304,220.7293642618288,15.552626048667562,12.284757395428926,509.7656505361878,1038.3856711023136,3.8317949203598555e-09
+ opt. #2,26017,237.0,43.05327286005304,279.3866529576815,26.49797545012251,16.5099643286306,39.08432409578353,641.5321896922503,3.530793998815965e-09
