rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(0.8), np.float64(1.4))",0.5,0.8,1.4,2.4,1.77,4.249999999999999
"(np.float64(0.5), np.float64(0.8), np.float64(1.5))",0.5,0.8,1.5,2.4,1.81,4.34
"(np.float64(0.5), np.float64(0.8), np.float64(1.6))",0.5,0.8,1.6,2.4,1.81,4.34
"(np.float64(0.5), np.float64(0.8), np.float64(1.7))",0.5,0.8,1.7,2.4,1.84,4.42
"(np.float64(0.5), np.float64(0.8), np.float64(1.8))",0.5,0.8,1.8,2.4,1.88,4.510000000000001
"(np.float64(0.5), np.float64(0.8), np.float64(1.9))",0.5,0.8,1.9,2.4,1.92,4.61
"(np.float64(0.5), np.float64(0.8), np.float64(2.0))",0.5,0.8,2.0,2.4,1.95,4.68
"(np.float64(0.5), np.float64(0.9), np.float64(0.5))",0.5,0.9,0.5,2.4,1.47,3.53
"(np.float64(0.5), np.float64(0.9), np.float64(0.6))",0.5,0.9,0.6,2.4,1.51,3.62
"(np.float64(0.5), np.float64(0.9), np.float64(0.7))",0.5,0.9,0.7,2.4,1.54,3.7000000000000006
"(np.float64(0.5), np.float64(0.9), np.float64(0.8))",0.5,0.9,0.8,2.4,1.58,3.79
"(np.float64(0.5), np.float64(0.9), np.float64(0.9))",0.5,0.9,0.9,2.4,1.61,3.86
"(np.float64(0.5), np.float64(0.9), np.float64(1.0))",0.5,0.9,1.0,2.4,1.65,3.96
"(np.float64(0.5), np.float64(0.9), np.float64(1.1))",0.5,0.9,1.1,2.4,1.69,4.06
"(np.float64(0.5), np.float64(0.9), np.float64(1.2))",0.5,0.9,1.2,2.4,1.72,4.13
"(np.float64(0.5), np.float64(0.9), np.float64(1.3))",0.5,0.9,1.3,2.4,1.76,4.22
"(np.float64(0.5), np.float64(0.9), np.float64(1.4))",0.5,0.9,1.4,2.4,1.79,4.3
"(np.float64(0.5), np.float64(0.9), np.float64(1.5))",0.5,0.9,1.5,2.4,1.83,4.39
"(np.float64(0.5), np.float64(0.9), np.float64(1.6))",0.5,0.9,1.6,2.4,1.83,4.39
"(np.float64(0.5), np.float64(0.9), np.float64(1.7))",0.5,0.9,1.7,2.4,1.86,4.46
"(np.float64(0.5), np.float64(0.9), np.float64(1.8))",0.5,0.9,1.8,2.4,1.9,4.56
"(np.float64(0.5), np.float64(0.9), np.float64(1.9))",0.5,0.9,1.9,2.4,1.94,4.660000000000001
"(np.float64(0.5), np.float64(0.9), np.float64(2.0))",0.5,0.9,2.0,2.4,1.97,4.73
"(np.float64(0.5), np.float64(1.0), np.float64(0.5))",0.5,1.0,0.5,2.4,1.5,3.5999999999999996
"(np.float64(0.5), np.float64(1.0), np.float64(0.6))",0.5,1.0,0.6,2.4,1.53,3.67
"(np.float64(0.5), np.float64(1.0), np.float64(0.7))",0.5,1.0,0.7,2.4,1.57,3.7699999999999996
"(np.float64(0.5), np.float64(1.0), np.float64(0.8))",0.5,1.0,0.8,2.4,1.6,3.8400000000000003
