rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(0.8), np.float64(1.3))",0.5,0.8,1.3,1.38,2.41,3.33
"(np.float64(0.5), np.float64(0.8), np.float64(1.4))",0.5,0.8,1.4,1.38,2.46,3.3900000000000006
"(np.float64(0.5), np.float64(0.8), np.float64(1.5))",0.5,0.8,1.5,1.38,2.51,3.46
"(np.float64(0.5), np.float64(0.8), np.float64(1.6))",0.5,0.8,1.6,1.38,2.55,3.5199999999999996
"(np.float64(0.5), np.float64(0.8), np.float64(1.7))",0.5,0.8,1.7,1.38,2.6,3.59
"(np.float64(0.5), np.float64(0.8), np.float64(1.8))",0.5,0.8,1.8,1.38,2.65,3.66
"(np.float64(0.5), np.float64(0.8), np.float64(1.9))",0.5,0.8,1.9,1.38,2.7,3.73
"(np.float64(0.5), np.float64(0.8), np.float64(2.0))",0.5,0.8,2.0,1.38,2.75,3.7999999999999994
"(np.float64(0.5), np.float64(0.9), np.float64(0.5))",0.5,0.9,0.5,2.04,2.08,4.24
"(np.float64(0.5), np.float64(0.9), np.float64(0.6))",0.5,0.9,0.6,1.7,2.13,3.62
"(np.float64(0.5), np.float64(0.9), np.float64(0.7))",0.5,0.9,0.7,1.46,2.17,3.17
"(np.float64(0.5), np.float64(0.9), np.float64(0.8))",0.5,0.9,0.8,1.38,2.22,3.0599999999999996
"(np.float64(0.5), np.float64(0.9), np.float64(0.9))",0.5,0.9,0.9,1.38,2.27,3.13
"(np.float64(0.5), np.float64(0.9), np.float64(1.0))",0.5,0.9,1.0,1.38,2.32,3.2
"(np.float64(0.5), np.float64(0.9), np.float64(1.1))",0.5,0.9,1.1,1.38,2.36,3.2599999999999993
"(np.float64(0.5), np.float64(0.9), np.float64(1.2))",0.5,0.9,1.2,1.38,2.41,3.33
"(np.float64(0.5), np.float64(0.9), np.float64(1.3))",0.5,0.9,1.3,1.38,2.46,3.3900000000000006
"(np.float64(0.5), np.float64(0.9), np.float64(1.4))",0.5,0.9,1.4,1.38,2.51,3.46
"(np.float64(0.5), np.float64(0.9), np.float64(1.5))",0.5,0.9,1.5,1.38,2.56,3.53
"(np.float64(0.5), np.float64(0.9), np.float64(1.6))",0.5,0.9,1.6,1.38,2.6,3.59
"(np.float64(0.5), np.float64(0.9), np.float64(1.7))",0.5,0.9,1.7,1.38,2.65,3.66
"(np.float64(0.5), np.float64(0.9), np.float64(1.8))",0.5,0.9,1.8,1.38,2.7,3.73
"(np.float64(0.5), np.float64(0.9), np.float64(1.9))",0.5,0.9,1.9,1.38,2.75,3.7999999999999994
"(np.float64(0.5), np.float64(0.9), np.float64(2.0))",0.5,0.9,2.0,1.38,2.79,3.8499999999999996
"(np.float64(0.5), np.float64(1.0), np.float64(0.5))",0.5,1.0,0.5,2.04,2.14,4.37
"(np.float64(0.5), np.float64(1.0), np.float64(0.6))",0.5,1.0,0.6,1.7,2.19,3.72
"(np.float64(0.5), np.float64(1.0), np.float64(0.7))",0.5,1.0,0.7,1.46,2.23,3.2599999999999993
"(np.float64(0.5), np.float64(1.0), np.float64(0.8))",0.5,1.0,0.8,1.38,2.28,3.15
"(np.float64(0.5), np.float64(1.0), np.float64(0.9))",0.5,1.0,0.9,1.38,2.33,3.22
"(np.float64(0.5), np.float64(1.0), np.float64(1.0))",0.5,1.0,1.0,1.38,2.38,3.28
"(np.float64(0.5), np.float64(1.0), np.float64(1.1))",0.5,1.0,1.1,1.38,2.43,3.35
"(np.float64(0.5), np.float64(1.0), np.float64(1.2))",0.5,1.0,1.2,1.38,2.47,3.4099999999999997
"(np.float64(0.5), np.float64(1.0), np.float64(1.3))",0.5,1.0,1.3,1.38,2.52,3.48
"(np.float64(0.5), np.float64(1.0), np.float64(1.4))",0.5,1.0,1.4,1.38,2.57,3.55
"(np.float64(0.5), np.float64(1.0), np.float64(1.5))",0.5,1.0,1.5,1.38,2.62,3.62
"(np.float64(0.5), np.float64(1.0), np.float64(1.6))",0.5,1.0,1.6,1.38,2.66,3.67
"(np.float64(0.5), np.float64(1.0), np.float64(1.7))",0.5,1.0,1.7,1.38,2.71,3.74
"(np.float64(0.5), np.float64(1.0), np.float64(1.8))",0.5,1.0,1.8,1.38,2.7599999999999993,3.81
"(np.float64(0.5), np.float64(1.0), np.float64(1.9))",0.5,1.0,1.9,1.38,2.81,3.88
"(np.float64(0.5), np.float64(1.0), np.float64(2.0))",0.5,1.0,2.0,1.38,2.85,3.9299999999999997
"(np.float64(0.5), np.float64(1.1), np.float64(0.5))",0.5,1.1,0.5,2.04,2.2,4.49
"(np.float64(0.5), np.float64(1.1), np.float64(0.6))",0.5,1.1,0.6,1.7,2.25,3.8199999999999994
"(np.float64(0.5), np.float64(1.1), np.float64(0.7))",0.5,1.1,0.7,1.46,2.3,3.36
"(np.float64(0.5), np.float64(1.1), np.float64(0.8))",0.5,1.1,0.8,1.38,2.34,3.2299999999999995
"(np.float64(0.5), np.float64(1.1), np.float64(0.9))",0.5,1.1,0.9,1.38,2.39,3.3
"(np.float64(0.5), np.float64(1.1), np.float64(1.0))",0.5,1.1,1.0,1.38,2.44,3.37
"(np.float64(0.5), np.float64(1.1), np.float64(1.1))",0.5,1.1,1.1,1.38,2.49,3.44
"(np.float64(0.5), np.float64(1.1), np.float64(1.2))",0.5,1.1,1.2,1.38,2.53,3.49
"(np.float64(0.5), np.float64(1.1), np.float64(1.3))",0.5,1.1,1.3,1.38,2.58,3.56
"(np.float64(0.5), np.float64(1.1), np.float64(1.4))",0.5,1.1,1.4,1.38,2.63,3.6299999999999994
"(np.float64(0.5), np.float64(1.1), np.float64(1.5))",0.5,1.1,1.5,1.38,2.68,3.7000000000000006
"(np.float64(0.5), np.float64(1.1), np.float64(1.6))",0.5,1.1,1.6,1.38,2.72,3.75
"(np.float64(0.5), np.float64(1.1), np.float64(1.7))",0.5,1.1,1.7,1.38,2.77,3.8199999999999994
"(np.float64(0.5), np.float64(1.1), np.float64(1.8))",0.5,1.1,1.8,1.38,2.8200000000000003,3.89
"(np.float64(0.5), np.float64(1.1), np.float64(1.9))",0.5,1.1,1.9,1.38,2.87,3.96
"(np.float64(0.5), np.float64(1.1), np.float64(2.0))",0.5,1.1,2.0,1.38,2.91,4.02
"(np.float64(0.5), np.float64(1.2), np.float64(0.5))",0.5,1.2,0.5,2.04,2.25,4.59
"(np.float64(0.5), np.float64(1.2), np.float64(0.6))",0.5,1.2,0.6,1.7,2.3,3.91
"(np.float64(0.5), np.float64(1.2), np.float64(0.7))",0.5,1.2,0.7,1.46,2.34,3.4200000000000004
"(np.float64(0.5), np.float64(1.2), np.float64(0.8))",0.5,1.2,0.8,1.38,2.39,3.3
"(np.float64(0.5), np.float64(1.2), np.float64(0.9))",0.5,1.2,0.9,1.38,2.44,3.37
"(np.float64(0.5), np.float64(1.2), np.float64(1.0))",0.5,1.2,1.0,1.38,2.49,3.44
