rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(0.8), np.float64(1.5))",0.5,0.8,1.5,1.38,1.28,1.77
"(np.float64(0.5), np.float64(0.8), np.float64(1.6))",0.5,0.8,1.6,1.38,1.29,1.78
"(np.float64(0.5), np.float64(0.8), np.float64(1.7))",0.5,0.8,1.7,1.38,1.3,1.79
"(np.float64(0.5), np.float64(0.8), np.float64(1.8))",0.5,0.8,1.8,1.38,1.31,1.81
"(np.float64(0.5), np.float64(0.8), np.float64(1.9))",0.5,0.8,1.9,1.38,1.32,1.82
"(np.float64(0.5), np.float64(0.8), np.float64(2.0))",0.5,0.8,2.0,1.38,1.33,1.84
"(np.float64(0.5), np.float64(0.9), np.float64(0.5))",0.5,0.9,0.5,2.05,1.19,2.44
"(np.float64(0.5), np.float64(0.9), np.float64(0.6))",0.5,0.9,0.6,1.71,1.2,2.05
"(np.float64(0.5), np.float64(0.9), np.float64(0.7))",0.5,0.9,0.7,1.46,1.21,1.77
"(np.float64(0.5), np.float64(0.9), np.float64(0.8))",0.5,0.9,0.8,1.38,1.22,1.68
"(np.float64(0.5), np.float64(0.9), np.float64(0.9))",0.5,0.9,0.9,1.38,1.23,1.7
"(np.float64(0.5), np.float64(0.9), np.float64(1.0))",0.5,0.9,1.0,1.38,1.24,1.71
"(np.float64(0.5), np.float64(0.9), np.float64(1.1))",0.5,0.9,1.1,1.38,1.25,1.72
"(np.float64(0.5), np.float64(0.9), np.float64(1.2))",0.5,0.9,1.2,1.38,1.26,1.74
"(np.float64(0.5), np.float64(0.9), np.float64(1.3))",0.5,0.9,1.3,1.38,1.27,1.75
"(np.float64(0.5), np.float64(0.9), np.float64(1.4))",0.5,0.9,1.4,1.38,1.28,1.77
"(np.float64(0.5), np.float64(0.9), np.float64(1.5))",0.5,0.9,1.5,1.38,1.29,1.78
"(np.float64(0.5), np.float64(0.9), np.float64(1.6))",0.5,0.9,1.6,1.38,1.3,1.79
"(np.float64(0.5), np.float64(0.9), np.float64(1.7))",0.5,0.9,1.7,1.38,1.31,1.81
"(np.float64(0.5), np.float64(0.9), np.float64(1.8))",0.5,0.9,1.8,1.38,1.32,1.82
"(np.float64(0.5), np.float64(0.9), np.float64(1.9))",0.5,0.9,1.9,1.38,1.33,1.84
"(np.float64(0.5), np.float64(0.9), np.float64(2.0))",0.5,0.9,2.0,1.38,1.34,1.85
"(np.float64(0.5), np.float64(1.0), np.float64(0.5))",0.5,1.0,0.5,2.05,1.2,2.46
"(np.float64(0.5), np.float64(1.0), np.float64(0.6))",0.5,1.0,0.6,1.71,1.21,2.07
"(np.float64(0.5), np.float64(1.0), np.float64(0.7))",0.5,1.0,0.7,1.46,1.22,1.78
"(np.float64(0.5), np.float64(1.0), np.float64(0.8))",0.5,1.0,0.8,1.38,1.23,1.7
"(np.float64(0.5), np.float64(1.0), np.float64(0.9))",0.5,1.0,0.9,1.38,1.24,1.71
"(np.float64(0.5), np.float64(1.0), np.float64(1.0))",0.5,1.0,1.0,1.38,1.25,1.72
"(np.float64(0.5), np.float64(1.0), np.float64(1.1))",0.5,1.0,1.1,1.38,1.26,1.74
"(np.float64(0.5), np.float64(1.0), np.float64(1.2))",0.5,1.0,1.2,1.38,1.27,1.75
"(np.float64(0.5), np.float64(1.0), np.float64(1.3))",0.5,1.0,1.3,1.38,1.28,1.77
"(np.float64(0.5), np.float64(1.0), np.float64(1.4))",0.5,1.0,1.4,1.38,1.29,1.78
"(np.float64(0.5), np.float64(1.0), np.float64(1.5))",0.5,1.0,1.5,1.38,1.3,1.79
"(np.float64(0.5), np.float64(1.0), np.float64(1.6))",0.5,1.0,1.6,1.38,1.31,1.81
"(np.float64(0.5), np.float64(1.0), np.float64(1.7))",0.5,1.0,1.7,1.38,1.32,1.82
"(np.float64(0.5), np.float64(1.0), np.float64(1.8))",0.5,1.0,1.8,1.38,1.33,1.84
"(np.float64(0.5), np.float64(1.0), np.float64(1.9))",0.5,1.0,1.9,1.38,1.34,1.85
"(np.float64(0.5), np.float64(1.0), np.float64(2.0))",0.5,1.0,2.0,1.38,1.35,1.86
"(np.float64(0.5), np.float64(1.1), np.float64(0.5))",0.5,1.1,0.5,2.05,1.2,2.46
"(np.float64(0.5), np.float64(1.1), np.float64(0.6))",0.5,1.1,0.6,1.71,1.21,2.07
"(np.float64(0.5), np.float64(1.1), np.float64(0.7))",0.5,1.1,0.7,1.46,1.22,1.78
"(np.float64(0.5), np.float64(1.1), np.float64(0.8))",0.5,1.1,0.8,1.38,1.23,1.7
"(np.float64(0.5), np.float64(1.1), np.float64(0.9))",0.5,1.1,0.9,1.38,1.24,1.71
"(np.float64(0.5), np.float64(1.1), np.float64(1.0))",0.5,1.1,1.0,1.38,1.25,1.72
"(np.float64(0.5), np.float64(1.1), np.float64(1.1))",0.5,1.1,1.1,1.38,1.26,1.74
"(np.float64(0.5), np.float64(1.1), np.float64(1.2))",0.5,1.1,1.2,1.38,1.27,1.75
"(np.float64(0.5), np.float64(1.1), np.float64(1.3))",0.5,1.1,1.3,1.38,1.28,1.77
"(np.float64(0.5), np.float64(1.1), np.float64(1.4))",0.5,1.1,1.4,1.38,1.29,1.78
"(np.float64(0.5), np.float64(1.1), np.float64(1.5))",0.5,1.1,1.5,1.38,1.31,1.81
"(np.float64(0.5), np.float64(1.1), np.float64(1.6))",0.5,1.1,1.6,1.38,1.32,1.82
"(np.float64(0.5), np.float64(1.1), np.float64(1.7))",0.5,1.1,1.7,1.38,1.33,1.84
"(np.float64(0.5), np.float64(1.1), np.float64(1.8))",0.5,1.1,1.8,1.38,1.34,1.85
"(np.float64(0.5), np.float64(1.1), np.float64(1.9))",0.5,1.1,1.9,1.38,1.35,1.86
"(np.float64(0.5), np.float64(1.1), np.float64(2.0))",0.5,1.1,2.0,1.38,1.36,1.88
"(np.float64(0.5), np.float64(1.2), np.float64(0.5))",0.5,1.2,0.5,2.05,1.21,2.48
"(np.float64(0.5), np.float64(1.2), np.float64(0.6))",0.5,1.2,0.6,1.71,1.22,2.09
"(np.float64(0.5), np.float64(1.2), np.float64(0.7))",0.5,1.2,0.7,1.46,1.23,1.8
"(np.float64(0.5), np.float64(1.2), np.float64(0.8))",0.5,1.2,0.8,1.38,1.24,1.71
"(np.float64(0.5), np.float64(1.2), np.float64(0.9))",0.5,1.2,0.9,1.38,1.25,1.72
"(np.float64(0.5), np.float64(1.2), np.float64(1.0))",0.5,1.2,1.0,1.38,1.26,1.74
"(np.float64(0.5), np.float64(1.2), np.float64(1.1))",0.5,1.2,1.1,1.38,1.27,1.75
"(np.float64(0.5), np.float64(1.2), np.float64(1.2))",0.5,1.2,1.2,1.38,1.28,1.77
"(np.float64(0.5), np.float64(1.2), np.float64(1.3))",0.5,1.2,1.3,1.38,1.29,1.78
"(np.float64(0.5), np.float64(1.2), np.float64(1.4))",0.5,1.2,1.4,1.38,1.3,1.79
"(np.float64(0.5), np.float64(1.2), np.float64(1.5))",0.5,1.2,1.5,1.38,1.31,1.81
"(np.float64(0.5), np.float64(1.2), np.float64(1.6))",0.5,1.2,1.6,1.38,1.32,1.82
"(np.float64(0.5), np.float64(1.2), np.float64(1.7))",0.5,1.2,1.7,1.38,1.33,1.84
"(np.float64(0.5), np.float64(1.2), np.float64(1.8))",0.5,1.2,1.8,1.38,1.34,1.85
"(np.float64(0.5), np.float64(1.2), np.float64(1.9))",0.5,1.2,1.9,1.38,1.35,1.86
"(np.float64(0.5), np.float64(1.2), np.float64(2.0))",0.5,1.2,2.0,1.38,1.36,1.88
"(np.float64(0.5), np.float64(1.3), np.float64(0.5))",0.5,1.3,0.5,2.05,1.22,2.5
"(np.float64(0.5), np.float64(1.3), np.float64(0.6))",0.5,1.3,0.6,1.71,1.23,2.1
"(np.float64(0.5), np.float64(1.3), np.float64(0.7))",0.5,1.3,0.7,1.46,1.24,1.81
"(np.float64(0.5), np.float64(1.3), np.float64(0.8))",0.5,1.3,0.8,1.38,1.25,1.72
"(np.float64(0.5), np.float64(1.3), np.float64(0.9))",0.5,1.3,0.9,1.38,1.26,1.74
"(np.float64(0.5), np.float64(1.3), np.float64(1.0))",0.5,1.3,1.0,1.38,1.27,1.75
"(np.float64(0.5), np.float64(1.3), np.float64(1.1))",0.5,1.3,1.1,1.38,1.28,1.77
"(np.float64(0.5), np.float64(1.3), np.float64(1.2))",0.5,1.3,1.2,1.38,1.29,1.78
"(np.float64(0.5), np.float64(1.3), np.float64(1.3))",0.5,1.3,1.3,1.38,1.3,1.79
"(np.float64(0.5), np.float64(1.3), np.float64(1.4))",0.5,1.3,1.4,1.38,1.31,1.81
"(np.float64(0.5), np.float64(1.3), np.float64(1.5))",0.5,1.3,1.5,1.38,1.32,1.82
"(np.float64(0.5), np.float64(1.3), np.float64(1.6))",0.5,1.3,1.6,1.38,1.33,1.84
"(np.float64(0.5), np.float64(1.3), np.float64(1.7))",0.5,1.3,1.7,1.38,1.34,1.85
"(np.float64(0.5), np.float64(1.3), np.float64(1.8))",0.5,1.3,1.8,1.38,1.35,1.86
"(np.float64(0.5), np.float64(1.3), np.float64(1.9))",0.5,1.3,1.9,1.38,1.36,1.88
"(np.float64(0.5), np.float64(1.3), np.float64(2.0))",0.5,1.3,2.0,1.38,1.37,1.89
"(np.float64(0.5), np.float64(1.4), np.float64(0.5))",0.5,1.4,0.5,2.05,1.23,2.52
"(np.float64(0.5), np.float64(1.4), np.float64(0.6))",0.5,1.4,0.6,1.71,1.24,2.12
"(np.float64(0.5), np.float64(1.4), np.float64(0.7))",0.5,1.4,0.7,1.46,1.25,1.82
"(np.float64(0.5), np.float64(1.4), np.float64(0.8))",0.5,1.4,0.8,1.38,1.26,1.74
"(np.float64(0.5), np.float64(1.4), np.float64(0.9))",0.5,1.4,0.9,1.38,1.27,1.75
"(np.float64(0.5), np.float64(1.4), np.float64(1.0))",0.5,1.4,1.0,1.38,1.28,1.77
"(np.float64(0.5), np.float64(1.4), np.float64(1.1))",0.5,1.4,1.1,1.38,1.29,1.78
"(np.float64(0.5), np.float64(1.4), np.float64(1.2))",0.5,1.4,1.2,1.38,1.3,1.79
"(np.float64(0.5), np.float64(1.4), np.float64(1.3))",0.5,1.4,1.3,1.38,1.31,1.81
"(np.float64(0.5), np.float64(1.4), np.float64(1.4))",0.5,1.4,1.4,1.38,1.32,1.82
"(np.float64(0.5), np.float64(1.4), np.float64(1.5))",0.5,1.4,1.5,1.38,1.33,1.84
"(np.float64(0.5), np.float64(1.4), np.float64(1.6))",0.5,1.4,1.6,1.38,1.34,1.85
"(np.float64(0.5), np.float64(1.4), np.float64(1.7))",0.5,1.4,1.7,1.38,1.35,1.86
"(np.float64(0.5), np.float64(1.4), np.float64(1.8))",0.5,1.4,1.8,1.38,1.36,1.88
"(np.float64(0.5), np.float64(1.4), np.float64(1.9))",0.5,1.4,1.9,1.38,1.37,1.89
"(np.float64(0.5), np.float64(1.4), np.float64(2.0))",0.5,1.4,2.0,1.38,1.38,1.9
"(np.float64(0.5), np.float64(1.5), np.float64(0.5))",0.5,1.5,0.5,2.05,1.23,2.52
"(np.float64(0.5), np.float64(1.5), np.float64(0.6))",0.5,1.5,0.6,1.71,1.24,2.12
"(np.float64(0.5), np.float64(1.5), np.float64(0.7))",0.5,1.5,0.7,1.46,1.25,1.82
"(np.float64(0.5), np.float64(1.5), np.float64(0.8))",0.5,1.5,0.8,1.38,1.26,1.74
"(np.float64(0.5), np.float64(1.5), np.float64(0.9))",0.5,1.5,0.9,1.38,1.27,1.75
"(np.float64(0.5), np.float64(1.5), np.float64(1.0))",0.5,1.5,1.0,1.38,1.28,1.77
"(np.float64(0.5), np.float64(1.5), np.float64(1.1))",0.5,1.5,1.1,1.38,1.29,1.78
"(np.float64(0.5), np.float64(1.5), np.float64(1.2))",0.5,1.5,1.2,1.38,1.3,1.79
"(np.float64(0.5), np.float64(1.5), np.float64(1.3))",0.5,1.5,1.3,1.38,1.31,1.81
"(np.float64(0.5), np.float64(1.5), np.float64(1.4))",0.5,1.5,1.4,1.38,1.32,1.82
"(np.float64(0.5), np.float64(1.5), np.float64(1.5))",0.5,1.5,1.5,1.38,1.33,1.84
"(np.float64(0.5), np.float64(1.5), np.float64(1.6))",0.5,1.5,1.6,1.38,1.35,1.86
"(np.float64(0.5), np.float64(1.5), np.float64(1.7))",0.5,1.5,1.7,1.38,1.36,1.88
"(np.float64(0.5), np.float64(1.5), np.float64(1.8))",0.5,1.5,1.8,1.38,1.37,1.89
"(np.float64(0.5), np.float64(1.5), np.float64(1.9))",0.5,1.5,1.9,1.38,1.38,1.9
"(np.float64(0.5), np.float64(1.5), np.float64(2.0))",0.5,1.5,2.0,1.38,1.39,1.92
