cfg_name,Num_Layers,total_us
BASE_noS_noH,23080,10641281.109721432
BASE_S_noH,26017,13464526.846125912
BASE_noS_H,23080,30873722.20131373
BASE_S_H,26017,32774162.028736748
D3ROT_CELL3_noS_noH,23080,10641281.109721432
D3ROT_CELL3_S_noH,26017,13464526.846125912
D3ROT_CELL3_noS_H,23080,13758399.03187626
D3ROT_CELL3_S_H,26017,16690742.979223277
