cfg_name,Num_Layers,total_us
BASE_noS_noH,10398,6031807.362248336
BASE_S_noH,11390,7185427.613285853
BASE_noS_H,10398,16374869.701319415
BASE_S_H,11390,17572667.69379482
D3ROT_CELL3_noS_noH,10398,6031807.362248336
D3ROT_CELL3_S_noH,11390,7185427.613285853
D3ROT_CELL3_noS_H,10398,7275034.841261193
D3ROT_CELL3_S_H,11390,8376144.634695322
