cfg_name,Num_Layers,total_us
BASE_noS_noH,37834,23588838.135644387
BASE_S_noH,44145,33797696.622901045
BASE_noS_H,37834,95514516.41806336
BASE_S_H,44145,116100929.82614338
D3ROT_CELL3_noS_noH,37834,23588838.135644387
D3ROT_CELL3_S_noH,44145,33797696.622901045
D3ROT_CELL3_noS_H,37834,42816691.72097477
D3ROT_CELL3_S_H,44145,51298959.51555658
