cfg_name,Num_Layers,total_us
BASE_noS_noH,43021,28033251.267933547
BASE_S_noH,47899,36290622.004755475
BASE_noS_H,43021,101587299.07359824
BASE_S_H,47899,111110073.17485774
D3ROT_CELL3_noS_noH,43021,28033251.267933547
D3ROT_CELL3_S_noH,47899,36290622.004755475
D3ROT_CELL3_noS_H,43021,35729096.092275485
D3ROT_CELL3_S_H,47899,43293981.26857598
