cfg_name,Num_Layers,total_us
BASE_noS_noH,29031,20532154.9456029
BASE_S_noH,42848,32203143.96515505
BASE_noS_H,29031,83304323.16619748
BASE_S_H,42848,113201199.68201455
D3ROT_CELL3_noS_noH,29031,20532154.9456029
D3ROT_CELL3_S_noH,42848,32203143.96515505
D3ROT_CELL3_noS_H,29031,32657035.153083608
D3ROT_CELL3_S_H,42848,46559326.3623555
