Label,Num_Layers,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,Logical_Error
Baseline,47899,237.0,43.002025094469616,489.89209023152887,25.240987653007412,46.49284620498091,1481.9742708616052,2323.602220045573,1.1020607604373203e-14
+ opt. #1,47899,237.0,43.002025094469616,474.43595690933,28.643114346679443,17.0340191855343,461.88444539551983,1261.9995609317502,9.427157823374934e-14
+ opt. #2,47899,237.0,43.002025094469616,504.06812626568404,44.50678774512321,16.17942529844287,59.103450385185496,903.8598147889513,1.2559245783787003e-14
