Label,Num_Layers,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,Logical_Error
Baseline,11390,237.0,38.20517998244074,340.82587796312555,38.06067262611427,36.02957643488987,855.4309727831429,1545.552279789775,1.5603934539682154e-11
+ opt. #1,11390,237.0,38.20517998244074,335.85423529411764,41.531095715988144,10.337670847905517,332.6376751536435,995.5658569940862,1.930391713680891e-11
+ opt. #2,11390,237.0,38.20517998244074,337.15938366988587,66.66554100565162,14.760084516323618,41.60442317822652,735.3946123525305,1.566205194309428e-11
