Label,Num_Layers,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,Logical_Error
Baseline,42848,237.0,68.01325616131442,379.9606509055265,47.04851270440342,65.53604544536438,1839.8682234876767,2637.4266887049657,2.697107979046394e-10
+ opt. #1,42848,237.0,68.01325616131442,380.30805101755044,77.08613407704466,44.9086636867275,632.5624857636294,1439.8785907062224,7.052508352696129e-10
+ opt. #2,42848,237.0,68.0132561613144,519.7758138069455,125.69901959357298,78.19088687465486,57.937116784914124,1086.6160932215157,6.693253463244186e-10
